BookID,Category,CopiesNo,CoverType,FotocopiesNo,ISBN,Includes,Origin,PublicationYear,Publisher,Shelf,Theme,Title
1434,book,1,hardbound,0,0890066752,,cs/e,1993,artech house,g123,this book aims at familiarizing the reader with a number of available network design techniques. δωρεα στη βιβλιοθηκη ιπ-ιτε.,broadband network analysis and design
1435,book,1,,0,0890067392,,cs,1996,artech house,,"this book provides detailed analyses of wide area networking (wan) services, application solutions including groupware, internet community and enable you to gain a better understanding of distance learning appliacations and networking solutions.",distance learning technology and applications
1436,book,1,hardbound,0,0890066892,,cs,1994,artech house,g123,this book provides an up-to-date assessment of practical multimedia and its communication requirements. δωρεα στη βιβλιοθηκη ιπ-ιτε.,distributed multimedia throught broadband communications services
1437,book,1,hardbound,0,0890066213,,cs/e,1993,artech house,g123,this book aims at familiarizing the reader with important evolving communication technologies and the ensuing opportunities in the design of optimized corporate networks. δωρεα στη βιβλιοθηκη ιπ-ιτε.,"enterprise networking fractional ti to sonet, frame relay to bisdn"
1438,book,1,hardbound,0,0890064253,,cs,1991,artech house,g123,"this book provides a comprehensive guide to the telecommunication field, with emphasis on issues affecting the idustry in the 1990s. δωρεα στη βιβλιοθηκη ιπ-ιτε.",telecommunications technology handbook
1439,book,1,hardbound,0,027303345x,,cs,1987,pitman publishing,g121,"this book teaches business people how to write complex reports, analyses and presentations so that can be clearly understood.",the pyramid principle logic in writing and thinking
1440,report,1,paperback,0,,,cs,1992,mit press,cs-lib,"the laboratory's current research falls into four principal catagories: parallel systems, distributed systems, languages, and networks.","mit laboratory for computer science, progress report 29"
1441,book,1,hardbound,0,085066456x,,cs,1988,taylor & francis,,"this book contains much useful technical information which will also be of value to rehabilitation specialists and therapists, and so would make a valuable addition to university, polytechnic and hospital libraries.",ergonomics in rehabilitation
1442,report,4,paperback,0,,,cs,1990,commission of the european communities,g117,"delta addresses issues related to the use, for learning, of new emerging technologies in the areas of information technology, telecommunications and broadcasting.","r&d in information and communication based learning technology, delta '90"
1443,book,1,hardbound,0,0262132893,,cs,1993,mit press,g123,1. analogy-computer simulation 2. perception-computer simulation 3. artificial intelligence,analogy-making as perception a computer model
1444,book,1,hardbound,0,0387966986,,3π13,1988,springer-verlag,g123,the present volume is the first book to combine the topics of formal language theory traditionally taught in the context of programming languages with an introduction to issues in computatiobal linguistics. δωρεα στη βιβλιοθηκη ιπ-ιτε.,an introduction to formal language theory
1445,book,1,paperback,0,0780304446,,cs,1993,ieee press,,this book describes 'best practices' and will show readers how companies in europe and north america are implementing successful software metrics programmes.,software metrics a practitioner's guide to improved product development
1446,report,1,paperback,0,,,cs,1991,commission of the european communities,cs-lib,this report provides an overview of the main implications of the outcome of the delta exploratory action for future research in the area of telematic systems for flexible and distance learning.,telematic networks for flexible and distance learning
1447,book,1,paperback,0,086341012x,,cs,1984,iee press,g121,this book has an its theme the complementarity of engineering and business perceptions in the context of effective electronics innovation.,the business of electronic product development
1448,book,1,paperback,0,3540554882,,cs,1992,springer-verlag berlin,g121,"this book contains papers on algorithms, data  structures for geometric problems, and parallel and distributed algorithms.",data structures and efficient algorithms
1449,book,2,paperback,0,972735016x,,cs,1994,commission of the european communities,g123,this book shows how videotelephony can be an important  tool for disabled and elderly people.,videotelephony for disabled and elderly people
1450,book,1,hardbound,0,0125045808,,cs,1984,academic press,g121,"this book is concerned with all aspects of human computer relationships, including interaction, interfacing, modelling and artificial intelligence.",fundamentals of human-computer interaction
1451,book,1,paperback,0,013010034x,,cs,1993,prentice-hall,,the objective of this book is to explain how to use co-operative evaluation and how it can be implemented successfully in commercial environments.,improving your human-computer interface a practical technique
1452,book,1,paperback,0,1871516277,,cs,1993,intellect books,g123,this book aims to encourage teachers and students to view the use of computers in language work in an enthusiastic way and brings together the wealth of knowledge and experience of leading contributors.,computers and language
1453,book,1,paperback,0,0304314722,,cs,1990,cassell publishers ltd,cs-lib,"this book looks at teaching methods, contents and strategies concerning children with learning difficulties and provides examples of integration projects.",special needs in ordinary schools children with learning difficulties
1454,guide,2,paperback,0,,,cs,1996,european commission,g122,1. scope and organisation of cen/tc 251 2. synergy with r&d programmers 3. liaison with other standards bodies and organisations 4. cen/tc 251 working group 1-7,standards in healthcare informatics and telematics
1455,book,1,hardbound,0,0850668506,,cs,1991,taylor & francis,,"this book contains articles that examine areas include the supervisory control of complex systems, the control of robotic systems and the broader implications of this work for society at large. δωρεα στη  βιβλιοθηκη ιπ-ιτε.",robotics control and society
1456,book,1,paperback,0,0893919624,,cs,1992,ablex publishing corporation,g123,1. artificial intelligence 2. cognition,"minds, brains and computers: perspectives in cognitive science and artificial intelligence"
1457,proceedings,1,paperback,0,9282636321,,cs,1992,commission of the european communities,g122,this report summarizes the discussion and conclusions of the first telematique conference which was held at kells in northern ireland between 29 may and 1 june 1991.,telematique conference proceedings kells-northern ireland (uk)
1458,book,1,hardbound,0,0125062303,,cs,1993,academic press,g121,this book shows how incorporating learning algorithms into a knowledge acquisition environment provides a new work-share between system and user.,"knowledge acquisition and machine learning, theory, methods and applications"
1459,book,3,paperback,0,1858780675,,cs,1995,guib consortium,g123,this book helps to relieve some of the problems visually disabled people are currently facing with the increased popularity of microsoft windows (το συνοδεύουν δύο δισκέτες).,windows concepts: an introductory guide for visually disabled users
1460,book,1,paperback,0,0333573781,,cs,1992,macmillan press,g121,"business europe is the handbook for the european community, covering all aspects of community affairs of relevance to businesses, in particular giving vital information on trading within the ec, with details of finance and legislation.",business europe the essential guide to who's who and what's what in europe
1461,book,1,paperback,0,0131666371,,cs,1982,prentice-hall,g123,"the book is suitable for a course in computer architecture in a electrial engineering, computer engineering, or computer science department.",computer system architecture
1462,book,1,hardbound,0,0471914320,,cs,1987,john wiley & sons,g121,"this book provides an authoritative view of the current issues, problems and advances in the area of modelling human cognition.",modelling cognition
1463,book,1,paperback,0,0672305909,2 cd rom,cs,1994,sams publishing,g123,"with this book, you'll explore pc, home, and portable entertainment, multimedia, edutainnment, virtual reality, and interactive television (2 cd-roms enclosed).",the magic of interactive entertainment (second edition)
1464,manual,1,paperback,0,,,cs,1992,ace centre,g121,"contents: scripting guide, menu commands, script commands",saw switch access to windows 3 reference manual
1465,tutorial,1,spiral,0,,,cs,1993,hci international '93,g122(hci '93 tutor.),"tutorial from hci international'93 (5th int. conference on human-computer interaction jointly with 9th symposium on human interface (japan), august 1993, orlando, florida, usa",hci international '93 tutorial 8: virtual reality
1466,book,1,hardbound,0,0125093780,,cs,1992,academic press,g121,"this book outlines the overal goals of the knowledge negotiation approach, and identifies the key issues and currently practicable methods for tutoring systems design.",knowledge negotiation
1467,book,1,hardbound,0,0125097158,,cs,1992,academic press,g123,"inductive logic programming is a new research area, formed at the intersection of machine learning and logic programming.",inductive logic programming
1468,book,1,hardbound,0,0893914584,,cs,1989,ablex publishing corporation,g117,"this book is concerned with the applications of technology to or the implications of technology for the development, implementation, or evaluation of services for people who are mentally retarded.",transitions in mental retardation volume four: applications and implications of technology
1469,report,1,paperback,0,,,cs,1991,auva,g123,περιέχει γενικές πληροφορίες για άτομα με ειδικές ανάγκες.,rehabilitation engineering
1470,book,1,hardbound,0,0890066612,,cs/e,1993,artech house,g121,this book covers issues related to the effective design and implementation of computerized document imaging systems.,computerized document imaging systems: technology and applications
1471,book,1,paperback,0,0903808285,,cs,1983,manchester business school,g122,this book is about a systems design methodology called ethics standing for the effective technical and human implementation of computer-based systems.,designing human systems for new technology
1472,proceedings,1,paperback,0,,,cs,1991,office of disabled student services,g121,"los angeles airport marriott hotel, march 20-23, 1991","proceedings of the sixth annual conference ""technology and persons with disabilities"""
1473,proceedings,1,paperback,0,,,cs,1992,office of disabled student services,g122 (box vr/psn),"proceedings of the conference that deals with virtual reality and disabilities, held at the los angeles march 18-21, 1992",virtual reality and persons with disabilities
1474,book,1,paperback,0,0804809488,,cs,1985,charles e. tuttle company,cs-lib,this book is an introduction to chinese and japanese characters.,noodle words: an introduction to chinese and japanese characters
1475,book,1,hardbound,0,0198537360,,3π13,1989,oxford science publications,g123,"this book is concerned with the development, application, and implications of intelligent systems.",intelligent systems in a humman context
1476,book,0,spiral,1,0125123051,,cs,1988,academic press,g122,"this book describes the design and implementation of peridot (a new experimental tool for creating interaction techniques), and the research that led to its development.",creating user interfaces by demonstration
1477,book,1,hardbound,0,0867204508,,cs,1992,jones and bartlett publishers,g122,"1. user interfaces (computer systems) 2. programming languages (electronic computers). based on papers from a workshop held at the sigchi conference in new orleans, 1991.",languages for developing user interfaces
1478,tutorial,0,διαφάνεια,3,,,cs,1994,acm press,g122,"tutorial from chi'94 conference on human factors in computing systems boston, massachusetts april 24-28, 1994",user interface tools
1479,book,1,paperback,0,1883577152,cd rom,cs,1995,coriolis group,g122,"this book and cd-rom gives you the insider secrets and tips for creating multiple levels of adventure, textured floors and ceilings, walls, secret doors, cool objects, and animated objects that will amaze you.",amazing 3-d games adventure set
1480,book,1,paperback,0,1852230746,,cs,1988,crowood press,g117,this comprehensive and practical guide aims to provide advice and support for parents and carers of children with physical handicaps.,children with physical handicaps
1481,proceedings,0,spiral,1,,,cs,1990,columbia university press,g121,"prepared for an ifip tc2 working conference on database semantics titled ""object-oriented databases"" and held in windermere, lake district, uk, july 2-6 1990",object-orientation and knowledge base management
1482,report,1,spiral,0,,,cs,1990,n.a.c.e.d.p.,g117,response to the governments consultative document employment and training for people with disabilities,n.a.c.e.d.p. national advisory council on employment of disabled people
1483,book,1,hardbound,0,0134800125,,cs,1975,prentice-hall,g122-cs,1. logic circuits. 2. electronic digital computers-circuits. δωρεα στη βιβλιοθηκη ιπ-ιτε.,an introduction to computer logic
1484,book,1,paperback,0,0780310977,,cs,1996,ieee press,,"this comprehensive handbook covers the entire process of preparing, producing, and distributing engineering documents using current computer software and the most recent technologies in information transfer.",handbook for preparing engineering documents from concept to completion
1485,book,1,hardbound,0,0893915998,,cs,1991,ablex publishing corporation,g123,1. information storage and retrieval systems-law 2. law-methodology-data processing 3. artificial intelligence,"law, computer science and artificial intelligence"
1486,book,1,paperback,0,187267688x,,cs,1992,ncc (national curriculum council),g117,this book shows how teachers can use a variety of approaches to involve pupils with special educational needs in science work.,curriculum guidance 10 (ten) teaching science to pupils with special educational needs
1487,book,1,paperback,0,1872676502,,cs,1992,ncc (national curriculum council),g117,this book examines good practice in schools with pupils with severe learning difficulties.,curriculum guidance 9 (nine) the national curriculum and pupils with severe learning difficulties
1488,tutorial,1,spiral,0,,,cs,1993,hci international '93,cs-lib(hci '93),"tutorial from hci international'93 (5th int. conference on human-computer interaction jointly with 9th symposium on human interface (japan), august 1993, orlando, florida, usa",hci international '93 tutorial 5: computer supported meeting environments
1489,manual,1,paperback,0,78925961,,group,1990,nec technologies,group-lib,user's manual (model cdr-73),external cd-rom reader user's manual
1490,manual,1,spiral,0,,,guib,1990,"nec technologies, inc.",group-lib,user manual for computers with an ibm xt/at bus,nec scsi interface kit
1491,book,1,paperback,0,3540196129,,cs,1991,springer-verlag berlin,cs-lib,"this book aims to set ai in context, and to provide both a historical and a present-day assessment of the direction of ai research.",understanding the artificial on the future shape of artificial intelligence
1492,book,1,paperback,0,0803944675,,cs/e,1992,sage publications,g121,the cases in this book explore the political values and beliefs that underlie decisions about science and technology.,"controversy politics of technical decisions, third edition"
1493,book,0,paperback,1,0135419042,,cs,1982,prentice-hall,g121,"the author in his machine perception, explores the growing field of visual perception.",machine perception
1494,book,1,paperback,0,0138506450,,cs,1991,prentice-hall,g121,the book introduces a wide range of procedures appropriate for the analysis of various types of business data.,statistics for business and economics
1495,book,1,paperback,0,0070664552,,cs,1973,mcgraw-hill,g121,includes index. 1. computer graphics. 2. interactive computer systems.,principles of interactive computer graphics
1496,book,1,paperback,0,0805811516,,cs,1992,lawrence erlbaum associates,g121,"1. looking ahead 2. economics, industry, and productivity 3. energy 4. environmental change 5. education and training 6. transportation 7. space exploration 8. biotechnology 9. information technology 10. person-computer interaction 11. work",looking ahead human factors challenges in a changing world
1497,book,1,paperback,0,0805802975,,cs,1988,lawrence erlbaum associates,g117,"the purpose of this book is to contribute to a long-range national agenda for research, development, and application of information technology in education.",technology in education looking toward 2020
1498,book,1,paperback,0,0262640228,,cs,1986,mit press,g122,"this book provides the reader with a synthesis of what information technology is, what information technology is used for, and the future directions of the information age...",using computers human factors in information systems
1499,book,1,hardbound,0,012518400x,,cs,1989,academic press,g122,this book presents techniques to ensure consistency in user interfaces in single software packages and across products.,coordinating user interfaces for consistency
1500,book,1,hardbound,1,0444884289,,cs,1990,elsevier science publishers,g121,the book starts with a discussion of some of the general issues in the design of user interfaces.,designing user interfaces for international use
1501,tutorial,1,spiral,0,,,cs,1993,hci international '93,cs-lib(hci '93),"tutorial from hci international'93 (5th int. conference on human-computer interaction jointly with 9th symposium on human interface (japan), august 1993, orlando, florida, usa",hci international '93 tutorial 9: next-generation user interfaces
1502,book,1,hardbound,0,0125184107,,cs,1990,academic press,g122,"this book covers a broad range of hyper-text systems, as well as their features and applications using many concrete examples and illustrations from real systems.",hypertext & hypermedia
1503,book,1,hardbound,1,0125184050,,cs,1993,academic press,g122,this book provides an excellent guide to the methods of usability engineering.,usability engineering
1504,book,1,hardbound,0,0471018775,,cs,1994,john wiley & sons,,"this book guides step-by-step on all important methods now in use, including the heuristic evaluation method, the pluralistic walkthrough method, the cognitive walkthrough method and others.",usability inspection methods
1505,book,1,paperback,0,0442018576,,cs,1994,van nostrand reinhold,g123,"i. general management issues, management policy, including site location, the rules of telecommuting, technology requirements and costs. ii. specific aspects of setting up and operating a home office.",making telecommuting happen a guide for telemanagers and telecommuters
1506,book,1,hardbound,0,0890065500,,cs,1991,artech house,g123,1. telephone 2. telephone systems δωρεα στη βιβλιοθηκη ιπ-ιτε.,introduction to telephones & telephone systems second edition
1507,book,1,hardbound,0,0465067093,,cs,1988,basicbooks,g123,this book shows how good designers exploit basic principles of common sense thought - and how disregarding those principles can lead to disaster.,the psychology of everyday things
1508,book,1,hardbound,0,0898598729,,cs,1986,lawrence erlbaum associates,g121,this is a book about the design of computers.,user centered system design
1509,book,1,hardbound,0,089391553x,,cs,1991,ablex publishing corporation,g122,this book was primarily written to aid researchers and designers of human/computer systems. the book presents in an organised fashion the application of menu selection as a mode of human/computer interaction.,the psychology of menu selection
1510,proceedings,1,hardbound,0,0444887849,,cs,1990,elsevier science publishers,g122,"this book contains the papers presented at the third international symposium on human factors in organizational design and management in kyoto, japan, july 18-21, 1990.",human factors in organizational design and management-iii
1511,book,1,hardbound,0,0850663512,,cs,1987,taylor & francis,,this book gives new insights into how the issues of occupational health and safety have been approached when introducing automation and robotics. δωρεα στη  βιβλιοθηκη ιπ-ιτε.,occupational health and safety in automation and robotics
1512,book,1,hardbound,0,0850663822,,cs,1991,taylor & francis,,"this book describes different methods for introducing and implementing ergonomics. the first two chapters overview the rationale, value, tools and guidelines for using participatory ergonomics approach.",participatory ergonomics
1513,proceedings,1,paperback,0,3540526994,,cs,1990,springer-verlag berlin,g117,"this volume contains the proceedings from the 3rd international conference, iccal '90 held at the university of hagen, frg, june 1990",computer assisted learning
1514,manual,0,spiral,1,,,group,1987,peter norton computing,group-lib (box),this manual contains all the norton utilities.,the norton utilities version 4.0 & advanced edition user manual
1515,booklet,0,διαφάνεια,1,,,cs,,,box bliss-symbolics,the package consists of a flexible bliss communication program with associated utilities and also a series of games.,beeb-bliss a communication package and games for the bbc microcomputer
1516,manual,1,spiral,0,100000359001,,guib,1988,novell,group-lib,this manual explains how to install novell ethernet networking hardware on a netware network.,novel ethernet supplement netware
1517,book,1,hardbound,0,0893917680,,cs,1992,ablex publishing corporation,g121,1. deductive databases 2. database design.,building a deductive database
1518,book,1,paperback,0,1871516293,,cs,1993,intellect books,g117,the many mathematical intelligent education environments documented here provide methods on how such systems are developed.,mathematical intelligent learning environments
1519,book,1,paperback,0,0471934666,,cs,1990,john wiley & sons,g121,"this book will be essential reading for those who realize that to survive, organizations must face-and accept-change.",technological and market innovation strategies for product and company development
1520,book,1,,0,0805817255,,cs,1996,lawrence erlbaum associates,,this book explains how the human-machine interactions are measured and characterized and how the results are conveyed to others in the system development process.,u
1521,proceedings,1,paperback,0,0897917022,,cs,1995,acm siggraph,g121,art gallery/ interactive entertainment/ interactive communities/ computer animation festival/ electronic theatre/ graphics net,siggraph 95 visual proceedings
1522,proceedings,1,paperback,0,0818637307,,cs,1993,ieee computer society press,g121,"proceedings of the ieee international conference on developing and managing intelligent system projects, held in washington, march 29-31, 1993.",developing and managing intelligent system projects
1523,report,1,paperback,0,,,cs,1992,commission of the european communities,cs-lib,this report describes the r & d on transeuropean telematic systems for administrations.,"r & t development on transnational telematic systems for administrations, ens 1992"
1524,book,1,paperback,0,006041894x,,cs,1984,harper & row publishers,g123,"this timely, comprehensive anthology contains 15 original selections by established experts in the field of artificial intelligence. δωρεα στη  βιβλιοθηκη ιπ-ιτε.","artificial intelligence tools, techniques, and applications"
1525,book,1,paperback,0,0710806655,,cs,1983,harvester press,g117,this book provides an in-depth discussion of the relationship between artificial intelligence and computer-based learning.,learning and teaching with computers artificial intelligence in education
1526,book,1,paperback,0,8486094836,,cs,1991,fundesco,g122,regional evolution planning for integrated broadband communication. δωρεα στη βιβλιοθηκη ιπ-ιτε.,europe connected or disconnected? broadband networks in less developed regions
1527,book,1,hardbound,0,0262150387,,cs/e,1989,mit press,g123,"the authors, who were partcipants in alvey, provide a personal and hands-on review of the alvey program. δωρεα στη βιβλιοθηκη ιπ-ιτε.",alvey britain's strategic computing initiative
1528,book,1,hardbound,0,0471904104,,cs,1985,john wiley & sons,g121,this book offers an introductory account of the potential scope for computers in the workplace.,computers at work a behavioural approach
1529,book,1,hardbound,0,0471909432,,cs,1987,john wiley & sons,cs-lib,this book is an expanded update of the first edition in which the concept and subject matter of ergonomics are explained and illustrated.,"ergonomics at work, second edition"
1530,,1,,0,0850663598,,,1987,taylor & francis,,,international reviews of ergonomics: vol.1 current trends in human factors research and practice
1531,,1,,0,085066408x,,,1988,taylor & francis,,,international reviews of ergonomics: vol.2 current trends in human factors research and practice
1532,book,1,hardbound,0,0748400516,,cs,1993,taylor & francis,g121,this book outlines the nature of a 'person-centred' approach to ergonomics and human factors.,person-centred ergonomics a brantonian view of human factors
1533,book,1,paperback,0,1855540657,,cs,1992,ncc blackwell,g121,"this book is aimed at computer system managers, analysts and programmers who are involved in the analysis, design and implementation of relational databases and their applications.",relational databases: theory and practice
1534,book,1,hardbound,0,0125242204,,cs,1990,academic press,g123,"the scope of the book includes advances in typed functional programming, logic programming and automatic theorem proving.",logic and computer science
1535,book,1,without cover,0,,,cs,1995,,g117,i. overview comspec systems ii. end-user notes iii. facilitator notes iv. integrator notes v. controlling other applications and systems through comspec,comspec functional specification (and user handbooks)
1536,book,5,hardbound,0,9282643956,,cs,1992,commission of the european communities,g123,this report represents the outcome of work undertaken by mr k. olesen of jutland telephone to review the types of text telephones used by deaf people in europe.,survey of text telephones and relay services in europe
1537,proceedings,1,hardbound,0,3540558101,,cs,1992,springer-verlag berlin,g122,"this book is based on the nato advanced research workshop on structures of communication and intelligent help for hypermedia courseware, which was held at portugal, april 19-24, 1990.",hypermedia courseware: structures of communication and intelligent help
1538,book,1,paperback,0,0672303086,,cs,1993,sams publishing,g120a,"συνοδεύεται από δύο δισκέτες που περιέχουν graphics programs. this book focuses on graphics techniques, issues, and algorithms.",tricks of the graphics gurus
1539,report,1,paperback,0,,,3π13,1986,esprit,g122,"this report describes the premilinary work of the activity, which addresses the usability of the advanced interfaces.",factors governing the usability of advanced interfaces
1540,book,1,hardbound,0,1558602208,,cs,1992,morgan kaufmann publishers,g122,this book brings together for the first time all major approaches to uims development from a programmer's alorithmic perspective.,user interface management systems: models and algorithms
1541,proceedings,1,paperback,0,0897916735,,cs,1995,acm press,g121,"these conference proceedings (dis '95), contain the material selected for the symposium, held in ann arbor, michigan usa, august 23-25, 1995. the focus of this symposium is on designing in the domain of interacive systems.","dis '95 symposium on designing interactive systems: processes, practices, methods & techniques"
1542,booklet,0,paperback,1,,,cs,,blissymbolics communication institute,box bliss symbolics,the shool symbol communication programme,symbol communication programme
1543,lecture notes,0,spiral,1,,,cs,,ελκεπα,g121,"chapters: problems of survey design, problems of questionnaire design, question-wording, checklists, rating scales, and inventories, attitude statements.",ergonomics course - questionnaire design and attitude measurement
1544,book,2,hardbound,0,9282620204,,cs,1991,commission of the european communities,g123,"the cost 212 project develops the discipline of human factors aspects, concerning new information services, inside the traditional ""human factors analysis"".",cost 212 human factors in information services (second intermediate report)
1545,book,1,hardbound,0,9282641325,,cs,1992,commission of the european communities,g123,"the main goal of the project cost 212 is to plan and to introduce new information services evaluating the acceptability, in order to improve the service usability.",cost 212 human factors in information services hufis (final report)
1546,book,1,hardbound,0,3540558810,,cs,1992,springer-verlag berlin,g123,"this volume is based on the papers that were presented at the workshop on computational theories of communication and their applications, held at castel ivano, trento, italy, november 5-9, 1990.",communication from an artificial intelligence perspective
1547,book,1,paperback,0,0931988268,,cs,1977,adam osborne and associates,g122-cs,this book explains how computers work and what they can do.,an introduction to microcomputers volume 0 the beginner's book
1548,book,1,paperback,0,0931988349,,cs,1980,osborne/mcgraw-hill,g122-cs,"this book explains what microprocessors and microcomputers are and, in addition, what sets them apart from computers and central processing units. δωρεα στη βιβλιοθηκη ιπ-ιτε.",an introduction to microcomputers volume 1 basic concepts
1549,book,1,hardbound,0,0471939323,,cs,1991,john wiley & sons,g121,1. information resources management 2. management information systems.,total information systems management
1550,book,1,paperback,0,0205149081,,cs,1994,allyn and bacon,,speech disorders in children-united states. 2. language disorders in children-united states 3. hearing disorders in children-united states,"speech, language, and hearing disorders a guide for the teacher"
1551,book,0,διαφάνεια,1,,,cs,1992,ote-moto,cs-lib,λεξιλόγιο όρων και ορισμών των δημοσίων κινητών δικτύων ξηράς gsm,gsm global system for mobile communications
1552,book,0,ντοσιέ,1,,,cs,1990,ote-elot,cs-lib,αντίτυπο του λεξιλογίου τηλεπικοινωνιακής ορολογίας,ενιαίο λεξικό τηλεπικοινωνιακής ορολογίας
1553,book,0,διαφάνεια,1,,,cs,1991,ote-elot,cs-lib,αντίτυπο της 2ης έκδοσης του ενιαίου λεξιλογίου τηλεπικοινωνιακής ορολογίας,ενιαίο λεξιλόγιο τηλεπικοινωνιακής ορολογίας (έκδοση 2η)
1554,book,0,διαφάνεια,1,,,cs,,ote-elot,cs-lib,αντίτυπο της 3ης έκδοσης του ενιαίου λεξιλογίου τηλεπικοινωνιακής ορολογίας.,ενιαίο λεξιλόγιο τηλεπικοινωνιακής ορολογίας (έκδοση 3η)
1555,book,0,διαφάνεια,1,,,cs,1993,ote-elot,cs-lib,"είναι ένα λεξιλόγιο όρων και ορισμών σχετικών με την ψηφιακή πολυπλεξία, την παλμωδική διαμόρφωση και τα συστήματα μετάδοσης.",λεξιλόγιο ορων και ορισμών ψηφιακής μετάδοσης και πολυπλεξίας και παλμοκωδικής διαμόρφωσης
1556,report,1,paperback,0,,,cs,1992,commission of the european communities,race-lib,"this report presents the achievements and the status of the race programme at the end of 1991, and describes the planning and the continuing activities for 1992.","research and technology development in advanced communications technologies in europe, race 1992"
1558,book,1,paperback,0,086238091x,,cs,1986,chartwell-bratt studentlitteratur,g121,"organised around topics - data modelling, database design, database query and manipulation languages, dbms implementation, distributed data base systems and new directions in database technology.",databases and database systems concepts and issues
1559,book,1,hardbound,0,089006685x,,cs,1993,artech house,cs-lib,this book begins by defining operating system and network protocol fundamentals. next it examines the key elements of the unix operating system as they relate to networks.,unix internetworking
1560,book,1,hardbound,0,0890067406,,cs,1994,artech house,g123,1. windows (computer programs) 2. x window system (computer system),x window system user's guide
1561,book,1,hardbound,0,0262161362,,cs,1993,mit press,g121,this book examines one object-oriented programming language - the common lisp object system (clos) as a modern programming tool.,object-oriented programming the clos perspective
1562,book,1,hardbound,0,0890066884,,cs/e,1993,artech house,g123,this book provides an easy-to-read introduction into the technical fundamentals and explains all systems in a understandable way. δωρεα στη βιβλιοθηκη ιπ-ιτε.,"mobile communications in the us and europe: regulation, technology and markets"
1563,book,1,paperback,0,0136907776,,cs,1980,prentice-hall,g121,this book takes the theoreticall concepts of structured design and makes them applicable to real-world software development.,the practical guide to structured systems design
1564,book,1,hardbound,0,3540524754,,cs,1990,springer-verlag berlin,g121,this book provides a systematic understanding of the different methodological approaches to the problem of developing and supervising project plans.,progect engineering computer-oriented planning and operational decision making
1565,directory,1,paperback,0,,,cs,1993,sophistech research,g122,"this sourcebook is a reference guide. ""virtual reality"", a new term which describes this innovative field.",virtual reality
1566,book,1,paperback,0,0471137871,,cs,1996,john wiley & sons,,"this comprehensive guide gives you details on all the internet games available, including where to find them, what hardware and software you need, and how to play.",the complete internet games
1567,book,1,paperback,0,0137718748,,cs,1989,prentice-hall,g121,this book provides a practitioner's guide to the construction of a relational database management system.,relational database management a systems programming approach
1568,book,1,paperback,0,3540556168,,cs,1992,springer-verlag berlin,g121,"a selection of papers presented at two ijcai-91 workshops, sydney, australia, august 1991",the next generation of information systems: from data to knowledge
1569,manual,1,διαφάνεια,0,,,guib,1990,f.h. papenmeier gmbh & co.kg,g123,"it includes: user's manual, braillex-ib 80 piezo, beschreibung der seriellen schnittstelle des erweiterungssatzes",the portable braille work station for the blind user's manual
1570,book,1,paperback,0,9600260869,,cs,1991,οδυσσέας,g117,το βιβλίο αυτό ανιχνεύει ένα ενδιαφέρον όραμα της εκπαίδευσης του μέλλοντος -τη συνεργασία παιδιών και υπολογιστών.,"νοητικές θύελλες παιδιά, ηλεκτρονικοί υπολογιστές και δυναμικές ιδέες"
1571,book,1,hardbound,0,0201055414,,3π13,1985,addison-wesley publishing company,g121,this book presents basic graphics concepts and recent advances in graphics hardware and software.,interactive microcomputer graphics
1572,book,1,hardbound,0,0444427279,,cs,1987,elsevier science publishers,g121,this book can be used as a practical guide to the daily performance of tasks in human realiability as well as a general reference and tutorial introduction to the discipline.,"human reliability analysis, prediction, and prevention of human errors"
1573,book,1,hardbound,0,0134645952,,cs,1988,prentice-hall,g121,in this book the authors propose a substantially different view of the role that management information systems (mis) plays in the enterprise.,information economics linking business performance to information technology
1574,book,1,hardbound,0,0070454868,,cs,1983,mcgraw-hill,g122,this book is the first comprehensive single-volume reference to treat the wide range of subjects of concern to today's professional engineers. δωρεα στη βιβλιοθηκη ιπ-ιτε.,mcgraw-hill encyclopedia of engineering
1575,,1,,0,0748400427,,,1993,taylor & francis,,,driving future vehicles
1576,book,1,paperback,0,0471607215,,cs,1988,john wiley & sons,g123,this book introduces you to both the technology and the methodology of expert systems. δωρεα στη  βιβλιοθηκη ιπ-ιτε.,expert systems for experts
1577,book,1,paperback,1,0471503452,,3π13,1989,john wiley & sons,g121,this book provides a complete and self-contained exposition of intelligent databases.,"intelligent databases object-oriented, deductive hypermedia technologies"
1579,book,1,paperback,0,0893918350,,cs,1992,ablex publishing corporation,g121,"this book is concerned with details of the relationships between ai and the business world, relationships of which management should be aware.",artificial intelligence and business management
1580,book,1,,0,,,,,collins publishers,,,economics
1581,book,1,hardbound,0,354011338x,,cs,1982,springer-verlag berlin,g121,"this book offers a comprehensive treatment of pictorial information processing by computer, including computer graphics, computer image processing and pictorial pattern recognition.",algorithms for graphics and image processing
1582,book,1,paperback,0,0471514136,,cs,1990,john wiley & sons,g121,"this book shows how to construct an expert system, by integrating rule-based and object-based programming techniques.",developing expert systems: a knowledge engineer's handbook for rules and objects
1583,book,1,hardbound,0,0748400052,,cs,1993,taylor & francis,,this book focuses on the major contribution human factors and ergonomics can make to the design and the use of automobiles.,automotive ergonomics
1584,book,1,paperback,0,0070491380,,cs,1977,mcgraw-hill,g122-cs,"this book is directed toward the engineer interested in obtaining an integrated understanding of the design of ""smart"" microcomputer-based instruments and devices. δωρεα στη βιβλιοθηκη ιπ-ιτε.",microcomputer-based design
