Abstract,Accepted,CnfJ,CondAccepted,Description,FullPaper,HardCopy,InPress,Link,PaperID,Project,SoftCopy,Submitted,Title,Topic,UndSubmission,Year
false,true,international journals,false,"international journal of bio-medical computing, vol. 17, pp. 177-184",true,true,false,,12,,false,false,an interactive aid for expressive communication with pictographic symbols,communication aids,false,1985
false,true,international journals,false,"international journal of man-machine studies, vol. 27, pp. 401-412",true,true,false,,13,,false,false,human-computer interaction in the provision of an inter-personal communication for non-vocal,human-computer interaction,false,1987
false,true,international journals,false,"international journal of biomedical computing, vol. 23, pp. 177-189",true,true,false,,14,,false,false,an evaluation of the information interface in the design of computer-based aids for expressive communication,communication aids,false,1988
false,true,international journals,false,"international journal of rehabilitation research, 17(3), pp 201-214.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@759d81f3,16,tide-core,true,false,rehabilitation technology product  taxonomy: a conceptual tool for analysing products abd extracting demand teterminants,assistive technology,false,1994
false,true,international journals,false,"international journal of rehabiliation research, 18(3), pp. 225-243",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@781a9412,17,tide-core,true,false,on the impediments to innovation in the european assistive technology industry,innovation,false,1995
false,true,international journals,false,"international journal of rehabilitation research, 20(2), pp.189-192.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@5a4c638d,19,tide-core,true,false,the transfer of  tecnology towards the european assisitive technology industry: current impediments and future opportunities (submitted for peer review and publication,technology transfer,false,1997
false,true,international journals,false,"assistive technology journal, 9(1), pp. 34-46",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@13e698c7,21,tide-core,true,false,transferring technology towards the european at industry: mechanisms and implications,technology transfer,false,1997
false,true,international journals,false,"international journal of human-computer interaction, vol. 9(3), 1997, pp.283-317.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@aed0151,22,tide-access,true,false,preference-based human factors knowledge repository for designing  user interfaces,user interface design,false,1997
false,true,proceedings of international conferences (full-paper reviewed),false,"1st european conference on the advancement of rehabilitation technology (ecart- 1), maastricht, the netherlands, november 1990, 2 pages",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@267bbe1a,27,tide-guib,true,false,accessibility of wimps-based user interfaces by visually impaired people,accessibility,false,1990
false,true,proceedings of international conferences (full-paper reviewed),false,"european conference on bio-medical engineering, nice, france, february 1991, 2 pages",true,true,false,,29,,false,false,technology and access to pictorial information by blind people,accessibility,false,1991
false,true,proceedings of international conferences (full-paper reviewed),false,"in e. jacobsson (ed.), proceedings of the 2nd european conference on the advancement of rehabilitation technology (ecart 2), stockholm, sweden, 26-28 may 1993, 3 pages. stockholm: swedish institute for the handicapped.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@1f12e153,30,tide-guib,true,false,access by blind people to interaction objects in ms windows,accessibility,false,1993
false,true,proceedings of international conferences (full-paper reviewed),false,"in. e. jacobsson (ed), proceedings of th 2nd european conference on the advancement of rehabilitation technology (ecart- 2), stockholm, sweden, 26-28 may 1993, 3 pages. stockholm: swedish institute for the handicapped.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@389562d6,31,tide-core,true,false,exploiting the value of modelling in the context of the rehabilitation technology market,modelling,false,1993
false,true,proceedings of international conferences (full-paper reviewed),false,"2nd international conference on intelligence in broadband  services and networks (is&n '93) , paris, france, november 1993, 11 pages.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@5a101b1c,32,race,true,false,access to b-isdn services by people with special needs: a methodological approach,accessibility,false,1993
false,true,proceedings of international conferences (full-paper reviewed),false,"in i. placencia - porreiro & r.p.  de la bellacasa (eds) 2nd tide congress, brussels, belgium, 26-28 april 1995, pp. 195-198. amsterdam: ios press.",true,true,false,,33,tide-core,false,false,european knowledge infrastructure for assistive technology,assistive technology,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"in i. placencia-porreiro & r.p. de la bellacasa (eds) proceedings of the 2nd tide congress, paris, france, 26-28 april 1995, pp. 159-162. amsterdam: ios press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@2160e52a,34,tide-core,true,false,measuring the cost and benefits of emerging technologies in the rehabilitation field,assistive technology,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"in i. placencia-porreiro & r.p. de la bellacasa (eds), proceedings of the 2nd tide congress, paris, france, 26-28 april 1995, pp. 191-194. amsterdam: ios press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@29f0802c,35,tide-core,true,false,technological synergies and new product concepts: policy issues in the transfer of  technology,technology transfer,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"in i. placencia-porreiro & r.p. de la bellacasa (eds), proceedings of the 2nd tide congress, paris, france, 26-28 april 1995, pp. 211-214. amsterdam: ios press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@3a60c416,36,tide-core,true,false,the use of analytical tools in analysing the demand of assistive technology products: the case of alarm telephones,assistive technology,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"in i. placencia-porreiro & r.p. de la bellacasa (eds) proceedings of the 2nd tide congress, paris, france, 26-28 april 1995, pp. 167-170. amsterdam: ios press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@60f2e0bd,37,tide-access,true,false,tools for user interfaces for all,user interfaces,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"1995 acm conference on human factors in computing systems (chi '95), denver, colorado, 7-11 may 1995, pp. 244-245 (companion proceedings). new york: acm press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@469d003c,38,tide-guib,true,false,building non-visual interaction through the development of the rooms metaphor,non-visual interaction,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"1995 acm conference on human factors in computing systems (chi' 95), denver, colorado, 7-11 may 1995, pp. 106-113. new york: acm press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@6b410923,39,,true,false,developing dual user interfaces for integrating blind and sighted users: the homer uims,user interface design,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"resna '95 annual conference, vancouver, canada, 9014 june 1995, pp.464-466. washington: resna press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@e8fadb0,40,race,true,false,voice-tactile interaction facilitating blind user access to an adapted multimedia retrieval application,human-computer interaction,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"resna '95 conference, vancouver, canada, 9-14 june 1995, pp. 467-469. washington: resna press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@6d64b553,41,tide-guib,true,false,enhancing non-visual interaction in a graphical environment through a screen reader configuration system,non-visual interaction,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"in proceedings of resna '95 annual conference, vancouver, canada, 9-14 june 1995, pp. 431-433. washington: resna press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@53667cbe,42,,true,false,interface design for disabled users: eliciting user-centered constraints,user interface design,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"in proceedings of resna '95 annual conference, vancouver, canada, 9-14 june 1995, pp. 458-460. washington: resna press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@1d3e6d34,43,,true,false,integrating the visual and non-visual worlds: developing user interfaces,graphical user interfaces,false,1995
true,true,poster presentations in international conferences,false,"sixth international conference on human-computer international (hci international '95), tokyo, japan, 9-14 july 1995, pp.86",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@6eafb10e,44,tide-guib,true,false,user-centered interface design: reusable models and ui component repositories,user interface design,false,1995
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"in y. anzai, k. ogawa & h. mori (eds), symbiosis of human and artifact - future computing abd design for human-computer interaction [proceedings of the 6th international conference on human-computer interaction (hci international '95)], tokyo, japan, 9-14 july 1995, (vol. 2, pp. 923-928). amsterdam: elsevier, elsevier science.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@26a94fa5,45,race,true,false,interact: an interface builder facilitating access to users with disabilities,accessibility,false,1995
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"in y. anzai, k. ogawa & h. mori (eds), symbiosis of human and artifact - future computing and design for human-computer interaction [proceedings of the 6th international conference on human-computer interaction (hci international '95), tokyo, japan, 9-14 july 1995, vol. 2. pp. 39-44. amsterdam: elsevier, elsevier science.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@464a4442,46,tide-guib,true,false,tailoring non-visual interaction in a graphical environment,non-visual interaction,false,1995
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"in y. anzai, k. ogawa & h. mori (eds), symbiosis of human and artifact - future computing and design for human-computer interaction [proceedings of the 6th international conference on human-computer interaction (hci international '95)], tokyo, japan, 9-14 july 1995, vol. 1, pp.1071-1076. am,sterdam: elsevier, elsevier science.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@2873d672,47,tide-access,true,false,user modelling for adaptable interface design,modelling,false,1995
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"in y. anzai, k. ogawa & h. mori (eds), symbiosis of human and artifact - future computing and design for human-computer interaction [proceedings of the 6th international conference on human-computer interaction (hci international '95), tokyo, japan, (vol. 2, pp. 929-934). amsterdam: slsevier, elsevier science.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@3bc735b3,48,tide-guib,true,false,supporting blind and sighted user collaboration through dual user interfaces using the homer system,user interfaces,false,1995
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"in y. anzai, k. ogawa & h. mori (eds), symbiosis of human and artifact- future computing and design for human-computer interaction [proceedings of the 6th international conference on human-computer interaction (hci international ' 95)], tokyo, japan, 9-14 july 1995, vol. 1, pp. 717-722. amsterdam: elsevier, elsevier science.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@577f9109,49,tide-core,true,false,query assistance: the query interface of core shell system,human-computer interaction,false,1995
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"in y. anzai, k. ogawa & h. mori (eds), symbiosis of human and artifact - future computing and design for human-computer interaction [proceedings of the 6th international conference on human-computer interaction (hci international '95)], tokyo, japan, 9-14 july 1995, vol. 2, pp.497-502. amstewrdam: elsevier, elsevier science.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@4303b7f0,50,,true,false,scenario based specification of interaction metaphors,metaphors,false,1995
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"panel session ""user interfaces for all - everybody, everywhere, and anytime"". in y. anzai, k. ogawa & h. mori (eds), symbiosis of human and artifact - future computing and design for human-computer interaction [proceedings of the 6th international conference on human-computer interaction (hci international '95)], tokyo, japan, 9-14 july 1995, vol. 1, pp. 137-142. amsterdam: elsevier, elsevier science.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@757529a4,51,,true,false,towards user interfaces for all: some critical issues,user interfaces,false,1995
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"adjunct proceedings of hci '95 people and computers, west yorkshire, u.k., 29 august - 1 september 1995, pp. 29-32. uk: university of huddersfield.",false,true,false,,52,tide-access,false,false,supporting user interface adaptability during the design and development process,user interface design,false,1995
true,true,poster presentations in international conferences,false,"4th international conference on broadband islands, dublin, ireland, 4-6 september 1995.",false,true,false,,53,race,false,false,multimedia service provision to b-isdn users: the case of blind users,multimedia systems,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"3rd european conference on the advancement of rehabilitation technology  (ecart- 3), lisbon, portugal, 10-13 october 1995, pp. 328-330.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@779de014,54,,true,false,a comparative assessment of mechanisms for transferring technology towards the assistive technology industry,technology transfer,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"3rd european conference on the advancement of rehabilitation technology  (ecart- 3), lisbon, portugal, 10-13 october 1995, pp. 100-102.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@5c41d037,55,,true,false,communication aid interface for speech-motor impaired users,communication aids,false,1995
true,true,poster presentations in international conferences,false,"in a. clarke, m. camporargo, & n. karatzas (eds), bringing telecommunication services to the people - proceedings of the 3rd international conference on intelligence in broadband services and networks (is&n '95), heraklion, crete, greece, 16-19 october 1995, pp. 504-505. berlin: springer-verlag.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@2234078,56,race,true,false,developing alternative metaphors for special b-isdn services,metaphors,false,1995
true,true,poster presentations in international conferences,false,"in a. clarke, m. camporargo, & n. karatzas (eds), bringing telecommunication servioces to the people - proceedings of the 3rd international conference on intelligence in broadband services and networks (is&n '95), heraklion, crete, greece, 16-19 october 1995 (pp. 506-507). berlin: springer-verlag.",false,true,false,,57,race,false,false,tool based user interface construction facilitating access to users with disabilities,accessibility,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"third world congress on expert  systems, seoul, korea, 5-9 february 1996, pp. 1298-1315. new york: cognizant commpunication corporation.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@5ec77191,58,tide-access,true,false,an expert user interface design assistant for deriving maximally preferred lexical adaptability rules,user interface design,false,1996
false,true,proceedings of international conferences (full-paper reviewed),false,"18th international conference on software engineering (isce 18),  ieee international workshop on multimedia software development (mmsd' 96), berlin, germany, 25-26 march 1996, pp. 160-168. new york: ieee computer society press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@4642b71d,59,,true,false,adaptations of the text media type: addressing the user's perspective,multimedia systems,false,1996
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"1st international conference on applied ergonomics (icae' 96), istanbul, turkey, 21-24 may 1996, pp. 256-261. west lafayette: usa publishing.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@1450078a,60,,true,false,integrating media and modalities in the user-machine intercace,human-computer interaction,false,1996
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"1st international conference on applied ergonomics (icae' 96), istambul, turkey, 21-24 may 1996, pp.137-142. west lafayette: usa publishing.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@c68a5f8,61,,true,false,designing user interfaces for all users: contributions from applied ergonomics and human factors,user interface design,false,1996
false,true,proceedings of international conferences (full-paper reviewed),false,"3rd eurographics workshop on design, specification and verification interaction systems (dvs-is '96), namur, belgium, 5-7 june 1996, pp.248-271. vienna: springer-verlag.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@69c6161d,63,tide-access,true,false,design assistance for user-adapted interaction,human-computer interaction,false,1996
false,true,proceedings of international conferences (full-paper reviewed),false,"11th international occupational ergonomics and safety conference, zurich, switzerland, 11-18 july 1996, pp. 145-150.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@3aefae67,64,,true,false,usability requirements for advanced information technology products,information technology,false,1996
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"conference proccedings ""the computer as an aid for those with special needs"", shefield, u.k., pp. 55-63",false,true,false,,65,,false,false,user-computer interaction in hand-eye coordination tasks,human-computer interaction,false,1984
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"conference proccedings ""the computer as an aid for those with special needs"", shefield, u.k., pp. 35-40",false,true,false,,66,,false,false,multi-mode communication with user-generated pictograhic symbols,multimedia systems,false,1985
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"conference proccedings ""the computer as an aid for those with special needs"", shefield, u.k., pp 53-58.",false,true,false,,67,,false,false,a study of user interaction with a pictographic communication aid,communication aids,false,1986
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"annual scientific meeting of the biological engineering society, oxford, u.k, 2 pages",false,true,false,,68,,false,false,a study of mechanism and symbol structure in computer-assisted expressive communication,communication aids,false,1987
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"international conference on the role and impact of information technology in the assessment  and rehabilitation of individuals with communication disorder, thessaloniki, greece, 5-9 september 1990, 7 pages.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@2e1792e7,69,,true,false,design criteria for a locally programmable aid for expressive communication,communication aids,false,1990
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"international conference on ""new information technologies and disabled people"",  athens, greece, 21-22 september 1991, 8 pages",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@6719a5b8,70,,true,false,communication aids for language or speech impaired people,communication aids,false,1991
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"international conference on ""new information technologies and disabled people"",  athens, greece, 21-22 september 1991, 4 pages",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@3eb631b8,71,horizon,true,false,educational software for people with mental and learning disabilities,educational software,false,1991
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"proceedings of the 1st informatics in education conference, athens, greece, november 1991, pp. 41-49",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@796d3c9f,72,,true,false,some aspects of the impact of developments on i.t. & t. in the field of education,information technology,false,1991
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"2nd hellenic conference on medical informatics, thessaloniki, greece, 8-10 may 1992, 11 pages.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@6bff19ff,73,,true,false,applications of information and telecommunications technologies in the field of rehabilitation (11 pages),rehabilitation teleinformatics,false,1992
false,true,proceedings of international conferences (full-paper reviewed),false,"in e. ballabio, i. placencia-porrero & r.p. de la bellacasa (eds), proceedings of the 1st tide congress on rehabilitation technology strategies for the european union, brussels, belgium, 6-7 april 1993, 2 pages. amsterdam: ios press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@41e1455d,74,tide-guib,true,false,access to graphics based and multimedia environments by blind users,accessibility,false,1993
false,true,proceedings of international conferences (full-paper reviewed),false,"second international conference broadband islands ""bringing the services gap"", athens, greece, 14-16 june 1993, pp. 181-185. amsterdam: elsevier science.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@4e558728,75,race,true,false,critical issues related to the accessibility of b-isdn services by people with special needs,accessibility,false,1993
true,true,proceedings of other established international conferences,false,"1ο πανελλήνιο συνέδριο με θέμα: ""διδακτική των μαθηματικών και πληροφορική στην εκπαίδευση"", πανεπιστήμιο ιωαννίνων, ιωάννινα, οκτώβριος 1993, 12 σελ.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@5eccd3b9,76,,true,false,"θεμελιώδεις έννοιες στη μελέτη αριθμών, των πράξεών τους και η εκπαίδευση ατόμων με ειδικές ανάγκες (basic arithmetics and the education of disabled people)",educational software,false,1993
true,true,proceedings of international conferences and workshops (abstract reviewed),false,"3o convegno nazionale, informatica, digattica e disabilita, torino, italy, 4-6 november 1993, 7 pages",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@4d6f197e,77,,true,false,a methodology for the development of communication aids,communication aids,false,1993
false,true,proceedings of international workshops (full-paper reviewed),false,"in c. stephanidis (ed), proceedings of the 1st ercim workshop ""towards user interfaces for all: current efforts and future trends"", heraklion, crete, greece, 30-31 october (9 pages).",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@6ef7623,78,,true,false,user modelling and multimodal representations: an approach combining alternative knowledge sources,modelling,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"j. lee (ed.), ""intelligence and multimodality in multimedia interfaces: reasearch & applications, aaai press (proceedings of the immi 95 workshop), edinburgh, uk, 13-14 july 1995, 12 pages. menlo park, california: aaai press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@64e1dd11,79,,true,false,media / modalities allocation in intelligent uis: towards a theory of media and modalities,user interfaces,false,1995
false,false,proceedings of international workshops (full-paper reviewed),false,"in c. stephanidis (ed.), proceedings of the 1st ercim workshop ""towards user interfaces for all: current efforts and future trends"", heraklion, crete, greece, 30-31 october 1995, 23 pages.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@5c089b2f,80,,true,false,supporting adaptivity in intelligent user interfaces: the case of media and modalities allocation,user interfaces,false,1995
false,false,invited papers in international conferences,false,"international conference on financial transactions by visually disabled persons in the framework of the concerted action programme on technology and blindness of the comac bme, agia pelagia, crete, 3 pages.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@6999cd39,81,race,true,false,financial transactions by visually disabled persons using the ibc network: a step beyond eftpos and super-smart cards (3 pages),financial transactions,false,1989
false,false,proceedings of international workshops (full-paper reviewed),false,"1st ercim workshop ""towards user interfaces for all: current efforts and future trends"", heraklion, crete, greece, 30-31 october 1995, 23 pages.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@14bae047,82,tide-access,true,false,design representations and development support for user interface adaptation,user interfaces,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"5th hellenic conference on informatics, athens, greece, 7-9 december 1995, pp. 273-282.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@7ed9ae94,83,,true,false,media / modalities allocation in intelligent multimedia user interfaces,user interfaces,false,1995
false,false,invited papers in international conferences,false,"international conference on access to visual computer information by blind persons in the framework of the concerted action programme on technology and blindness, berlin, germany, september 1989, 7 pages.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@66908383,84,concerted action programme (comac-bme),true,false,some issues related to the accessibility of computer images by blind persons,accessibility,false,1989
false,false,invited papers in international conferences,false,"international conference on intelligent houses for the blind in the framework of the concerted action programme on technology and blindness of the comac bme, maastricht, the netherlands, 3 pages.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@41477a6d,85,concerted action programme (comac-bme),true,false,some considerations on the impact of future technological advances for the development of intelligent houses for blind people (3 pages),artificial intelligence,false,1989
false,false,invited papers in international conferences,false,"conference in the framework of the concerted action programme on technology and blindness of the comac bme, florence, italy, december 1990, 5 pages.",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@2bc12da,86,concerted action programme (comac-bme),true,false,some issues on the accessibility to graphical user interfaces by blind people,accessibility,false,1990
